id,,,,,h1,h2,h3,d1,d2,link,kw,KW_LINK
1,,,,,h201,h101,h1,d101,d1,https://www.google.com,k101,https://www.apple.com
2,,,,,h202,h102,h2,d102,d2,https://www.google.com,k201,https://www.apple.com
3,,,,,h203,h103,h3,d103,d3,https://www.google.com,k301,https://www.apple.com
3,,,,,h204,h104,h4,d104,d4,https://www.google.com,k401,https://www.apple.com
3,,,,,h205,h105,h5,d105,d5,https://www.google.com,k501,https://www.apple.com
4,,,,,h206,h106,h6,d106,d6,https://www.google.com,k601,https://www.apple.com
4,,,,,h207,h107,h7,d107,d7,https://www.google.com,k701,https://www.apple.com
5,,,,,h208,h108,h8,d108,d8,https://www.google.com,k801,https://www.apple.com
6,,,,,h209,h109,h9,d109,d9,https://www.google.com,k901,https://www.apple.com
11,,,,,h210,h110,h10,d110,d10,https://www.google.com,k1001,https://www.apple.com
12,,,,,h211,h111,h11,d111,d11,https://www.google.com,k1101,https://www.apple.com
12,,,,,h212,h112,h12,d112,d12,https://www.google.com,k1201,https://www.apple.com
13,,,,,h213,h113,h13,d113,d13,https://www.google.com,k1301,https://www.apple.com
