Original Campaign,Campaign,Campaign Labels,Budgets,Negative Keyword List,Campaign Callout Asset,Campaign Sitelink Asset Text,Campaign Sitelink Asset Description 1,Campaign Sitelink Asset Description 2,Campaign Sitelink Asset Url,Campaign Price Asset Header,Campaign Price Asset Price,Campaign Price Asset Description,Campaign Price Asset Url,Campaign Call Asset Number,AdGroup,AdGroup Labels,Keywords,Negative Keywords,AdGroup Callout Asset,AdGroup Sitelink Asset Text,AdGroup Sitelink Asset Description 1,AdGroup Sitelink Asset Description 2,AdGroup Sitelink Asset Url,AdGroup Price Asset Header,AdGroup Price Asset Price,AdGroup Price Asset Description,AdGroup Price Asset Url,AdGroup Call Asset Number,RSA Headline 1,RSA Headline 2,RSA Headline 3,RSA Description 1,RSA Description 2,RSA Final Url,COA Phone,COA Final Url,COA Business Name,COA Description1,Max CPC
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_1,119.1346154,Campaign_1_NKWL_1,C_1_CA_1,C_1_SAT_1,C_1_SAD1_1,C_1_SAD2_1,https://www.represcribe.com,C_1_PAH_1,539.965827,C_1_PAP_1,https://www.repracticed.com,4094365695,AdGroup 1,CPN_1_AG_L_1,C_1_KW_1,C_1_NKW_1,CPN_1_AGCA_1,CPN_1_AGSAT_1,CPN_1_AGAD1_1,CPN_1_AGAD2_1,https://www.uranoscopy.com,CPN_1_AGPHA_1,416.0617679,CPN_1_AGPHD_1,https://www.shraf.com,1003978213,CPN_1_RSAH1_1,CPN_1_RSAH2_1,CPN_1_RSAH3_1,CPN_1_RSAD1_1,CPN_1_RSAD2_1,https://www.ornery.com,3599482305,https://www.taleysim.com,CPN_1_COABN_1,CPN_1_COAD1_1,499.8385445
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_2,119.1346154,Campaign_1_NKWL_2,C_1_CA_2,C_1_SAT_2,C_1_SAD1_2,C_1_SAD2_2,https://www.loathed.com,C_1_PAH_2,549.7321361,C_1_PAP_2,https://www.inhumate.com,3672599399,AdGroup 2,CPN_1_AG_L_2,C_1_KW_2,C_1_NKW_2,CPN_1_AGCA_2,CPN_1_AGSAT_2,CPN_1_AGAD1_2,CPN_1_AGAD2_2,https://www.decenaries.com,CPN_1_AGPHA_2,1.418948945,CPN_1_AGPHD_2,https://www.diener.com,1623581129,CPN_1_RSAH1_2,CPN_1_RSAH2_2,CPN_1_RSAH3_2,CPN_1_RSAD1_2,CPN_1_RSAD2_2,https://www.acclimatiser.com,4409464589,https://www.sackers.com,CPN_1_COABN_2,CPN_1_COAD1_2,500.7505161
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_3,119.1346154,Campaign_1_NKWL_3,C_1_CA_3,C_1_SAT_3,C_1_SAD1_3,C_1_SAD2_3,https://www.uroliths.com,C_1_PAH_3,151.1663639,C_1_PAP_3,https://www.unhospitable.com,6670930140,AdGroup 3,CPN_1_AG_L_3,C_1_KW_3,C_1_NKW_3,CPN_1_AGCA_3,CPN_1_AGSAT_3,CPN_1_AGAD1_3,CPN_1_AGAD2_3,https://www.baselevel.com,CPN_1_AGPHA_3,80.49460974,CPN_1_AGPHD_3,https://www.denaturise.com,2005625193,CPN_1_RSAH1_3,CPN_1_RSAH2_3,CPN_1_RSAH3_3,CPN_1_RSAD1_3,CPN_1_RSAD2_3,https://www.hammerlock.com,2973412520,https://www.caliph.com,CPN_1_COABN_3,CPN_1_COAD1_3,69.3461651
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_4,119.1346154,Campaign_1_NKWL_4,C_1_CA_4,C_1_SAT_4,C_1_SAD1_4,C_1_SAD2_4,https://www.nonfact.com,C_1_PAH_4,230.3064971,C_1_PAP_4,https://www.pitirri.com,5748239759,AdGroup 4,CPN_1_AG_L_4,C_1_KW_4,C_1_NKW_4,CPN_1_AGCA_4,CPN_1_AGSAT_4,CPN_1_AGAD1_4,CPN_1_AGAD2_4,https://www.suspiral.com,CPN_1_AGPHA_4,221.8607317,CPN_1_AGPHD_4,https://www.caky.com,8279112024,CPN_1_RSAH1_4,CPN_1_RSAH2_4,CPN_1_RSAH3_4,CPN_1_RSAD1_4,CPN_1_RSAD2_4,https://www.blennogenous.com,8295056489,https://www.clanning.com,CPN_1_COABN_4,CPN_1_COAD1_4,276.4093213
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_5,119.1346154,Campaign_1_NKWL_5,C_1_CA_5,C_1_SAT_5,C_1_SAD1_5,C_1_SAD2_5,https://www.moldiest.com,C_1_PAH_5,653.5922781,C_1_PAP_5,https://www.dermonosology.com,5696467746,AdGroup 5,CPN_1_AG_L_5,C_1_KW_5,C_1_NKW_5,CPN_1_AGCA_5,CPN_1_AGSAT_5,CPN_1_AGAD1_5,CPN_1_AGAD2_5,https://www.undissimulated.com,CPN_1_AGPHA_5,204.3983907,CPN_1_AGPHD_5,https://www.quinqueverbal.com,7818992212,CPN_1_RSAH1_5,CPN_1_RSAH2_5,CPN_1_RSAH3_5,CPN_1_RSAD1_5,CPN_1_RSAD2_5,https://www.motive.com,9327569559,https://www.trierarchal.com,CPN_1_COABN_5,CPN_1_COAD1_5,30.03346277
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_6,119.1346154,Campaign_1_NKWL_6,C_1_CA_6,C_1_SAT_6,C_1_SAD1_6,C_1_SAD2_6,https://www.variolar.com,C_1_PAH_6,542.9875304,C_1_PAP_6,https://www.unbaled.com,9119782693,AdGroup 6,CPN_1_AG_L_6,C_1_KW_6,C_1_NKW_6,CPN_1_AGCA_6,CPN_1_AGSAT_6,CPN_1_AGAD1_6,CPN_1_AGAD2_6,https://www.gunships.com,CPN_1_AGPHA_6,134.2205245,CPN_1_AGPHD_6,https://www.capitelliform.com,6689617924,CPN_1_RSAH1_6,CPN_1_RSAH2_6,CPN_1_RSAH3_6,CPN_1_RSAD1_6,CPN_1_RSAD2_6,https://www.frons.com,6033626829,https://www.iceleaf.com,CPN_1_COABN_6,CPN_1_COAD1_6,163.0899267
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_7,119.1346154,Campaign_1_NKWL_7,C_1_CA_7,C_1_SAT_7,C_1_SAD1_7,C_1_SAD2_7,https://www.mummification.com,C_1_PAH_7,378.5479368,C_1_PAP_7,https://www.nonvalent.com,1752298636,AdGroup 7,CPN_1_AG_L_7,C_1_KW_7,C_1_NKW_7,CPN_1_AGCA_7,CPN_1_AGSAT_7,CPN_1_AGAD1_7,CPN_1_AGAD2_7,https://www.astrologian.com,CPN_1_AGPHA_7,455.5785901,CPN_1_AGPHD_7,https://www.haberdasheress.com,8473207404,CPN_1_RSAH1_7,CPN_1_RSAH2_7,CPN_1_RSAH3_7,CPN_1_RSAD1_7,CPN_1_RSAD2_7,https://www.inquisite.com,6758642569,https://www.anybodies.com,CPN_1_COABN_7,CPN_1_COAD1_7,3.868428533
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_8,119.1346154,Campaign_1_NKWL_8,C_1_CA_8,C_1_SAT_8,C_1_SAD1_8,C_1_SAD2_8,https://www.datedly.com,C_1_PAH_8,876.1011001,C_1_PAP_8,https://www.spookdom.com,8579979204,AdGroup 8,CPN_1_AG_L_8,C_1_KW_8,C_1_NKW_8,CPN_1_AGCA_8,CPN_1_AGSAT_8,CPN_1_AGAD1_8,CPN_1_AGAD2_8,https://www.vesicants.com,CPN_1_AGPHA_8,82.02656347,CPN_1_AGPHD_8,https://www.vinylidene.com,5762262570,CPN_1_RSAH1_8,CPN_1_RSAH2_8,CPN_1_RSAH3_8,CPN_1_RSAD1_8,CPN_1_RSAD2_8,https://www.ferrate.com,8640007064,https://www.thong.com,CPN_1_COABN_8,CPN_1_COAD1_8,460.6974015
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_9,119.1346154,Campaign_1_NKWL_9,C_1_CA_9,C_1_SAT_9,C_1_SAD1_9,C_1_SAD2_9,https://www.footpaces.com,C_1_PAH_9,71.68900418,C_1_PAP_9,https://www.uncaste.com,4425173470,AdGroup 9,CPN_1_AG_L_9,C_1_KW_9,C_1_NKW_9,CPN_1_AGCA_9,CPN_1_AGSAT_9,CPN_1_AGAD1_9,CPN_1_AGAD2_9,https://www.naticine.com,CPN_1_AGPHA_9,120.9792666,CPN_1_AGPHD_9,https://www.burghs.com,9015604031,CPN_1_RSAH1_9,CPN_1_RSAH2_9,CPN_1_RSAH3_9,CPN_1_RSAD1_9,CPN_1_RSAD2_9,https://www.choleroid.com,3927373078,https://www.breviradiate.com,CPN_1_COABN_9,CPN_1_COAD1_9,188.1599671
Testing_Campaign_1,DND_DONT_MODIFY Testing_Campaign_1,Campaign_1_Label_10,119.1346154,Campaign_1_NKWL_10,C_1_CA_10,C_1_SAT_10,C_1_SAD1_10,C_1_SAD2_10,https://www.lapins.com,C_1_PAH_10,293.4631903,C_1_PAP_10,https://www.capreolary.com,8251923844,AdGroup 10,CPN_1_AG_L_10,C_1_KW_10,C_1_NKW_10,CPN_1_AGCA_10,CPN_1_AGSAT_10,CPN_1_AGAD1_10,CPN_1_AGAD2_10,https://www.dorad.com,CPN_1_AGPHA_10,82.20475277,CPN_1_AGPHD_10,https://www.septentrionally.com,3230995253,CPN_1_RSAH1_10,CPN_1_RSAH2_10,CPN_1_RSAH3_10,CPN_1_RSAD1_10,CPN_1_RSAD2_10,https://www.interproducing.com,1218920149,https://www.haustellated.com,CPN_1_COABN_10,CPN_1_COAD1_10,94.09946238
